timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783356374987,48946,https://theracareweb.online/appointment.php,404,Not Found,Thread Group 1-1,text,false,,5597,1070,1,1,https://theracareweb.online/login.php,2484,0,328
1783356374987,2485,https://theracareweb.online/appointment.php-0,302,Found,Thread Group 1-1,text,true,,625,515,1,1,https://theracareweb.online/appointment.php,2484,0,328
1783356377473,46460,https://theracareweb.online/appointment.php-1,404,Not Found,Thread Group 1-1,text,false,,4972,555,1,1,https://theracareweb.online/login.php,46459,0,0
1783356435162,700,https://theracareweb.online/appointment.php,404,Not Found,Thread Group 1-1,text,false,,5531,1116,1,1,https://theracareweb.online/login.php,350,0,118
1783356435162,350,https://theracareweb.online/appointment.php-0,302,Found,Thread Group 1-1,text,true,,559,561,1,1,https://theracareweb.online/appointment.php,350,0,118
1783356435513,349,https://theracareweb.online/appointment.php-1,404,Not Found,Thread Group 1-1,text,false,,4972,555,1,1,https://theracareweb.online/login.php,348,0,0
1783356439322,510,https://theracareweb.online/home.php,200,OK,Thread Group 1-1,text,true,,28705,1111,1,1,https://theracareweb.online/landing.php,223,0,0
1783356439322,223,https://theracareweb.online/home.php-0,302,Found,Thread Group 1-1,text,true,,561,554,1,1,https://theracareweb.online/home.php,223,0,0
1783356439546,286,https://theracareweb.online/home.php-1,200,OK,Thread Group 1-1,text,true,,28144,557,1,1,https://theracareweb.online/landing.php,232,0,0
1783356374985,50156,Test,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-1,,false,,39833,3297,1,1,null,3057,14692,446
1783356703493,570,https://theracareweb.online/appointment.php,404,Not Found,Thread Group 1-1,text,false,,5545,1070,1,1,https://theracareweb.online/login.php,350,0,123
1783356703493,350,https://theracareweb.online/appointment.php-0,302,Found,Thread Group 1-1,text,true,,625,515,1,1,https://theracareweb.online/appointment.php,350,0,123
1783356703844,219,https://theracareweb.online/appointment.php-1,404,Not Found,Thread Group 1-1,text,false,,4920,555,1,1,https://theracareweb.online/login.php,218,0,0
