timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783352462653,34026,https://theracareweb.online/mood_tracker.php,200,OK,Thread Group 1-1,text,true,,28772,1073,3,3,https://theracareweb.online/landing.php,1168,0,135
1783352462653,1168,https://theracareweb.online/mood_tracker.php-0,302,Found,Thread Group 1-1,text,true,,627,516,3,3,https://theracareweb.online/mood_tracker.php,1168,0,135
1783352463822,32857,https://theracareweb.online/mood_tracker.php-1,200,OK,Thread Group 1-1,text,true,,28145,557,3,3,https://theracareweb.online/landing.php,32799,0,0
1783352464650,38017,https://theracareweb.online/mood_tracker.php,200,OK,Thread Group 1-2,text,true,,28772,1073,3,3,https://theracareweb.online/landing.php,2184,0,116
1783352464650,2184,https://theracareweb.online/mood_tracker.php-0,302,Found,Thread Group 1-2,text,true,,627,516,3,3,https://theracareweb.online/mood_tracker.php,2184,0,116
1783352466835,35832,https://theracareweb.online/mood_tracker.php-1,200,OK,Thread Group 1-2,text,true,,28145,557,3,3,https://theracareweb.online/landing.php,35780,0,0
1783352466653,40017,https://theracareweb.online/mood_tracker.php,200,OK,Thread Group 1-3,text,true,,28771,1073,3,3,https://theracareweb.online/landing.php,2100,0,118
1783352466653,2100,https://theracareweb.online/mood_tracker.php-0,302,Found,Thread Group 1-3,text,true,,627,516,3,3,https://theracareweb.online/mood_tracker.php,2100,0,118
1783352468753,37917,https://theracareweb.online/mood_tracker.php-1,200,OK,Thread Group 1-3,text,true,,28144,557,3,3,https://theracareweb.online/landing.php,37864,0,0
1783352509990,31557,https://theracareweb.online/mood_graphs.php,200,OK,Thread Group 1-1,text,true,,28705,1118,3,3,https://theracareweb.online/landing.php,1568,0,0
1783352509990,1568,https://theracareweb.online/mood_graphs.php-0,302,Found,Thread Group 1-1,text,true,,561,561,3,3,https://theracareweb.online/mood_graphs.php,1568,0,0
1783352511558,29989,https://theracareweb.online/mood_graphs.php-1,200,OK,Thread Group 1-1,text,true,,28144,557,3,3,https://theracareweb.online/landing.php,29968,0,0
1783352519980,32018,https://theracareweb.online/mood_graphs.php,200,OK,Thread Group 1-3,text,true,,28706,1118,3,3,https://theracareweb.online/landing.php,1517,0,0
1783352519980,1517,https://theracareweb.online/mood_graphs.php-0,302,Found,Thread Group 1-3,text,true,,561,561,3,3,https://theracareweb.online/mood_graphs.php,1517,0,0
